,,,,,
,Information level,Attribute,Description,Additional notes
,,AGER_TYP,best-ager typology,in cooperation with Kantar TNS; the information basis is a consumer survey
,Person,ALTERSKATEGORIE_GROB,age through prename analysis ,modelled on millions of first name-age-reference data  
,,ANREDE_KZ,gender,
,,CJT_GESAMTTYP,Customer-Journey-Typology relating to the preferred information and buying channels of consumers,"relating to the preferred information, marketing and buying channels of consumers as well as their cross-channel usage. The information basis is a survey on the consumer channel preferences combined via a statistical modell with AZ DIAS data"
,,FINANZ_MINIMALIST,financial typology: low financial interest,Gfk-Typology based on a representative household panel combined via a statistical modell with AZ DIAS data 
,,FINANZ_SPARER,financial typology: money saver,
,,FINANZ_VORSORGER,financial typology: be prepared,
,,FINANZ_ANLEGER,financial typology: investor,
,,FINANZ_UNAUFFAELLIGER,financial typology: unremarkable,
,,FINANZ_HAUSBAUER,financial typology: main focus is the own house,
,,FINANZTYP,best descirbing financial type for the peron,
,,GEBURTSJAHR,year of birth,
,,GFK_URLAUBERTYP,vacation habits,
,,GREEN_AVANTGARDE,the environmental sustainability is the dominating movement in the youth of these consumers,own typology based on modelled on different AZ DIAS data 
,,HEALTH_TYP,health typology,in cooperation with Kantar TNS; the information basis is a consumer survey
,,LP_LEBENSPHASE_FEIN,lifestage fine,modelled on different AZ DIAS data
,,LP_LEBENSPHASE_GROB,lifestage rough,modelled on different AZ DIAS data
,,LP_FAMILIE_FEIN,family type fine,
,,LP_FAMILIE_GROB,family type rough,
,,LP_STATUS_FEIN,social status fine ,
,,LP_STATUS_GROB,social status rough,
,,NATIONALITAET_KZ,nationaltity,based on analysis of the first name
,,PRAEGENDE_JUGENDJAHRE,dominating movement in the person's youth (avantgarde or mainstream),own typology modelled on different AZ DIAS data 
,,RETOURTYP_BK_S,return type,
,,SEMIO_SOZ,affinity indicating in what way the person is social minded,attributes in cooperation with Kantar TNS; the information basis is a consumer survey
,,SEMIO_FAM,affinity indicating in what way the person is familiar minded,
,,SEMIO_REL,affinity indicating in what way the person is religious,
,,SEMIO_MAT,affinity indicating in what way the person is material minded,
,,SEMIO_VERT,affinity indicating in what way the person is dreamily,
,,SEMIO_LUST,affinity indicating in what way the person is sensual minded,
,,SEMIO_ERL,affinity indicating in what way the person is eventful orientated,
,,SEMIO_KULT,affinity indicating in what way the person is cultural minded,
,,SEMIO_RAT,affinity indicating in what way the person is of a rational mind,
,,SEMIO_KRIT,affinity indicating in what way the person is critical minded,
,,SEMIO_DOM,affinity indicating in what way the person is dominant minded,
,,SEMIO_KAEM,affinity indicating in what way the person is of a fightfull attitude,
,,SEMIO_PFLICHT,affinity indicating in what way the person is dutyfull traditional minded,
,,SEMIO_TRADV,affinity indicating in what way the person is traditional minded,
,,SHOPPER_TYP,shopping typology,
,,SOHO_FLAG,small office/home office flag,
,,TITEL_KZ,flag whether this person holds an academic title,
,,VERS_TYP,insurance typology ,in cooperation with TNS Infratest
,,ZABEOTYP,typification of energy consumers,modelled on different AZ DIAS data
,Household,ALTER_HH,main age within the household,
,,ANZ_PERSONEN,number of persons known in this household,
,,ANZ_TITEL,number of bearers of an academic title within this household,
,,HAUSHALTSSTRUKTUR,"structure of the household (single-hh, couple with different surnames, family,...)",
,,HH_EINKOMMEN_SCORE,estimated household_net_income ,modelled on different AZ DIAS data
,,D19_KK_KUNDENTYP,consumption movement in the last 12 months,"AZ has access to approx. 650 Million transaction data - this is the basis for the criteria family DHT4A aka. D19. This data contains unique data regarding the mail-order activity of consumers, differentiated "
,,D19_KONSUMTYP,consumption type ,
,,D19_GESAMT_ANZ_12                                    D19_GESAMT_ANZ_24,transaction activity TOTAL POOL in the last 12 and 24 months ,
,,D19_BANKEN_ ANZ_12             D19_BANKEN_ ANZ_24,transaction activity BANKS in the last 12 and 24 months,
,,D19_TELKO_ ANZ_12                  D19_TELKO_ ANZ_24,transaction activity TELCO in the last 12 and 24 months,
,,D19_VERSI_ ANZ_12                                       D19_VERSI_ ANZ_24,transaction activity INSURANCE in the last 12 and 24 months,
,,D19_VERSAND_ ANZ_12          D19_VERSAND_ ANZ_24,transaction activity MAIL-ORDER in the last 12 and 24 months,
,,D19_GESAMT_OFFLINE_DATUM,actuality of the last transaction with the complete file OFFLINE,
,,D19_GESAMT_ONLINE_DATUM,actuality of the last transaction with the complete file ONLINE,
,,D19_GESAMT_DATUM,actuality of the last transaction with the complete file TOTAL,
,,D19_BANKEN_OFFLINE_DATUM,actuality of the last transaction for the segment banks OFFLINE,
,,D19_BANKEN_ONLINE_DATUM,actuality of the last transaction for the segment banks ONLINE,
,,D19_BANKEN_DATUM,actuality of the last transaction for the segment banks TOTAL,
,,D19_TELKO_OFFLINE_DATUM,actuality of the last transaction for the segment telecommunication OFFLINE,
,,D19_TELKO_ONLINE_DATUM,actuality of the last transaction for the segment telecommunication ONLINE,
,,D19_TELKO_DATUM,actuality of the last transaction for the segment telecommunication TOTAL,
,,D19_VERSAND_OFFLINE_DATUM,actuality of the last transaction for the segment mail-order OFFLINE,
,,D19_VERSAND_ONLINE_DATUM,actuality of the last transaction for the segment mail-order ONLINE,
,,D19_VERSAND_DATUM,actuality of the last transaction for the segment mail-order TOTAL,
,,D19_VERSI_OFFLINE_DATUM,actuality of the last transaction for the segment insurance OFFLINE,
,,D19_VERSI_ONLINE_DATUM,actuality of the last transaction for the segment insurance ONLINE,
,,D19_VERSI_DATUM,actuality of the last transaction for the segment insurance TOTAL,
,,D19_GESAMT_ONLINE_QUOTE_12,amount of online transactions within all transactions in the complete file ,
,,D19_BANKEN_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment bank ,
,,D19_VERSAND_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment mail-order ,
,,W_KEIT_KIND_HH,likelihood of a child present in this household (can be specified in child age groups),
,,WOHNDAUER_2008,length of residenca,
,Building,ANZ_HAUSHALTE_AKTIV,number of households known in this building,
,,ANZ_HH_TITEL,number of holders of an academic title in the building,
,,GEBAEUDETYP,type of building (residential or commercial),
,,GEOSCORE_KLS7,microgeographical risk index concerning population solvency,additional costs
,,KBA05_HERSTTEMP,Development of the most common car manufacturers in the neighbourhood,
,,KBA05_MODTEMP,Development of the most common car segment in the neighbourhood,
,,KONSUMNAEHE,distance from a building to PoS (Point of Sale),additional costs
,,MIN_GEBAEUDEJAHR,year the building was first mentioned in our database,
,,OST_WEST_KZ,flag indicating the former GDR/FRG,
,,WOHNLAGE,neighbourhood-area (very good -> rather poor; rural nbh),
,Microcell (RR4_ID),CAMEO_DEUG_2015,CAMEO_4.0: uppergroup,New German CAMEO Typology established together with Call Credit in late 2015
,,CAMEO_DEU_2015,CAMEO_4.0: specific group,
,,CAMEO_DEUINTL_2015,CAMEO_4.0: international classification,
,,KBA05_ALTER1,share of car owners less than 31 years old,
,,KBA05_ALTER2,share of car owners inbetween 31 and 45 years of age,
,,KBA05_ALTER3,share of car owners inbetween 45 and 60 years of age,
,,KBA05_ALTER4,share of cars owners elder than 61 years,
,,KBA05_ANHANG,share of trailers in the microcell,
,,KBA05_ANTG1,number of 1-2 family houses in the cell,
,,KBA05_ANTG2,number of 3-5 family houses in the cell,
,,KBA05_ANTG3,number of 6-10 family houses in the cell,
,,KBA05_ANTG4,number of >10 family houses in the cell,
,Microcell (RR3_ID),KBA05_AUTOQUOT,share of cars per household,
,,KBA05_BAUMAX,most common building-type within the cell,
,,KBA05_CCM1,share of cars with less than 1399ccm,
,,KBA05_CCM2,share of cars with 1400ccm to 1799 ccm,
,,KBA05_CCM3,share of cars with 1800ccm to 2499 ccm,
,,KBA05_CCM4,share of cars with more than 2499ccm,
,,KBA05_DIESEL,share of cars with Diesel-engine in the microcell,
,,KBA05_FRAU,share of female car owners,
,,KBA05_GBZ,number of buildings in the microcell,
,,KBA05_HERST1,"share of top German manufacturer (Mercedes, BMW) ",
,,KBA05_HERST2,share of Volkswagen-Cars (including Audi),
,,KBA05_HERST3,share of Ford/Opel,
,,KBA05_HERST4,"share of European manufacturer (e.g. Fiat, Peugeot, Rover,...)",
,,KBA05_HERST5,"share of asian manufacturer (e.g. Toyota, Kia,...)",
,,KBA05_KRSAQUOT,share of cars per household (reffered to county average),
,,KBA05_KRSHERST1,share of Mercedes/BMW (reffered to the county average),
,,KBA05_KRSHERST2,share of Volkswagen (reffered to the county average),
,,KBA05_KRSHERST3,share of Ford/Opel (reffered to the county average),
,,KBA05_KRSKLEIN,share of small cars (referred to the county average),
,,KBA05_KRSOBER,share of upper class cars (referred to the county average),
,,KBA05_KRSVAN,share of vans (referred to the county average),
,,KBA05_KRSZUL,share of newbuilt cars (referred to the county average),
,,KBA05_KW1,share of cars with less than 59 KW engine power,
,,KBA05_KW2,share of cars with an engine power between 60 and 119 KW,
,,KBA05_KW3,share of cars with an engine power of more than 119 KW,
,,KBA05_MAXAH,most common age of car owners in the microcell,
,,KBA05_MAXBJ,most common age of the cars in the microcell,
,,KBA05_MAXHERST,most common car manufacturer in the microcell,
,,KBA05_MAXSEG,most common car segment in the microcell,
,,KBA05_MAXVORB,most common preowner structure in the microcell,
,,KBA05_MOD1,share of upper class cars (in an AZ specific definition),
,,KBA05_MOD2,share of middle class cars (in an AZ specific definition),
,,KBA05_MOD3,share of Golf-class cars (in an AZ specific definition),
,,KBA05_MOD4,share of small cars (in an AZ specific definition),
